loan_id,loan_value,loan_duration,payments,loan_success,account_district no. of inhabitants,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '95 ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '95 ,account_district no. of commited crimes '96 ,age,women,card_type,no. of transactions,balance,nr_movements,min_trans_amount,max_trans_amount,avg_trans_amount,min_balance,max_balance,avg_balance
5314,96396,12,8033,-1,94812,81.8,9650,6.43,3.67,100,1358.0,2804,51,True,0,3300.0,20100.0,4.0,1100.0,9900.0,5025.0,1100.0,20100.0,12250.0
5316,165960,36,4610,1,112709,73.5,8369,6.43,2.31,117,1358.0,2618,30,False,0,3419.0,52208.9,37.0,2.9,54300.0,11015.635135135137,700.0,120512.8,52083.85945945945
6863,127080,60,2118,1,77917,53.5,8390,6.43,2.89,132,1358.0,2122,62,False,0,12000.0,20272.8,24.0,48.6,19065.0,5417.458333333334,800.0,49590.4,30060.95416666668
5325,105804,36,2939,1,107870,58.0,8754,6.43,4.31,137,1358.0,3868,58,True,0,14.6,34292.7,25.0,14.6,26448.0,8253.080000000002,1000.0,65898.5,41297.48
7240,274740,60,4579,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,20,False,0,182.8,41142.9,27.0,30.0,63366.0,18945.966666666667,600.0,122893.1,57188.21111111113
6687,87840,24,3660,1,53921,41.3,8598,6.43,3.26,123,1358.0,1875,18,True,0,22000.0,43847.8,17.0,51.3,32938.0,9496.929411764706,500.0,65847.8,46318.55294117648
7284,52788,12,4399,1,58796,51.9,9045,6.43,3.6,124,1358.0,1879,25,False,0,1900.0,21029.0,43.0,14.6,17920.0,3714.8976744186057,1000.0,41469.1,22198.179069767448
6111,174744,24,7281,-1,122603,80.0,8991,6.43,2.01,128,1358.0,5273,50,True,0,40175.0,58140.9,32.0,14.6,52600.0,11557.95,1000.0,105628.0,37485.45625
7235,154416,48,3217,1,70699,65.3,8968,6.43,3.35,131,1358.0,1910,29,True,0,2600.0,53402.7,32.0,13.6,39098.0,9740.15,8897.0,81723.5,46715.8
5997,117024,24,4876,1,177686,74.8,10045,6.43,1.71,135,1358.0,6295,63,False,0,208.3,53193.5,13.0,45.1,29255.0,14122.576923076924,800.0,76985.2,44131.16923076923
7121,21924,36,609,1,157042,33.9,8743,6.43,2.43,111,1358.0,3894,38,False,0,14493.0,49083.3,45.0,14.6,21739.5,5957.544444444446,1100.0,60432.4,34272.21333333335
6077,79608,24,3317,1,105606,53.0,8254,6.43,3.76,97,1358.0,2325,28,False,0,3100.0,103745.7,53.0,14.6,67124.0,17600.358490566032,800.0,125825.7,69954.57169811318
6228,464520,60,7742,-1,77963,51.5,8546,6.43,4.02,126,1358.0,3120,58,True,0,290.7,101797.3,68.0,30.0,47757.0,13335.798529411764,200.0,125943.1,51760.01617647063
6356,95400,36,2650,1,75685,60.8,8208,6.43,2.26,155,1358.0,2123,27,False,0,30.0,27667.0,47.0,23.6,35760.0,10370.702127659575,200.0,92354.8,41562.32340425532
5523,93888,36,2608,1,86513,50.5,8288,6.43,4.52,110,1358.0,1460,48,True,0,12000.0,34716.3,19.0,48.0,15649.0,7121.915789473684,600.0,52378.2,37510.49473684211
6456,47016,12,3918,1,197099,74.7,9624,6.43,2.31,145,1358.0,4265,41,True,0,14581.0,58773.2,42.0,32.8,51800.0,12252.22380952381,200.0,112901.6,60382.085714285706
7104,259740,60,4329,1,228848,57.2,9893,6.43,4.72,96,1358.0,5887,19,False,0,12414.0,67219.5,17.0,75.3,38960.0,13038.088235294115,800.0,79633.5,45198.15294117648
6820,38148,12,3179,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,33,True,0,32706.0,56840.8,29.0,9.9,32706.0,8369.555172413793,900.0,62324.6,37462.093103448286
6876,86616,12,7218,1,75637,36.5,9622,6.43,0.59,154,1358.0,3529,37,False,0,11100.0,37253.1,15.0,29.8,17859.0,5323.546666666666,800.0,48353.1,25714.046666666665
7097,75624,24,3151,-1,387570,100.0,9897,6.43,1.96,140,1358.0,18696,40,False,0,13500.0,41954.8,23.0,50.5,49887.0,13406.739130434782,400.0,89754.8,50009.90869565218
4959,80952,24,3373,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,53,False,0,138.3,27855.2,54.0,13.5,30354.0,7954.257407407405,1100.0,67529.6,32590.62407407406
6499,80952,24,3373,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,53,False,0,150.2,28763.7,54.0,13.5,30354.0,7937.749999999999,1100.0,67529.6,33312.53888888891
5479,24516,12,2043,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,40,False,0,14.6,78656.2,73.0,12.5,59200.0,16201.558904109586,200.0,125254.2,55582.22602739725
5170,253200,60,4220,1,228848,57.2,9893,6.43,4.72,96,1358.0,5887,48,True,0,12950.0,81150.6,41.0,30.0,46304.0,11912.358536585369,800.0,104417.9,47302.54634146344
6721,21072,24,878,1,149893,67.4,9753,6.43,5.05,109,1358.0,5892,34,True,0,2600.0,30867.0,15.0,48.5,9738.0,3164.473333333334,1100.0,33467.0,21575.68666666666
7259,108144,36,3004,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,35,True,0,3500.0,21921.3,55.0,14.6,60600.0,13671.429090909089,900.0,123863.4,54652.89818181817
5285,78936,12,6578,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,41,True,0,1187.0,24601.0,51.0,14.6,11416.0,3259.0000000000005,900.0,40560.3,25900.31960784313
5189,149040,48,3105,1,75637,36.5,9622,6.43,0.59,154,1358.0,3529,30,True,0,126.7,19048.1,54.0,14.6,27946.0,6682.029629629629,200.0,62441.6,36845.58888888889
6650,49320,12,4110,-1,122603,80.0,8991,6.43,2.01,128,1358.0,5273,53,True,0,11567.0,15673.6,49.0,100.0,62700.0,10548.35918367347,900.0,126833.0,46576.27755102041
7226,197748,36,5493,1,102609,52.0,8187,6.43,5.45,94,1358.0,2134,28,True,0,5700.0,43294.5,16.0,68.3,36216.0,14293.412500000002,300.0,74413.6,44735.43125
6087,300660,60,5011,1,128118,85.3,9317,6.43,7.07,97,1358.0,6872,48,False,0,9800.0,33918.9,66.0,14.6,48900.0,10342.530303030304,800.0,135175.2,45854.89090909087
7262,182628,36,5073,1,138032,64.6,8819,6.43,5.66,99,1358.0,4505,39,False,0,183.5,45660.9,13.0,67.1,23204.0,8281.607692307693,500.0,52246.0,33229.1076923077
5519,91632,12,7636,1,94725,63.4,9920,6.43,2.87,130,1358.0,4846,36,True,0,6100.0,33061.9,70.0,14.6,26378.0,6304.1057142857135,700.0,64577.8,40976.94285714284
6577,51696,24,2154,1,323870,100.0,10673,6.43,5.44,100,1358.0,18347,30,True,2,9500.0,38202.2,102.0,14.6,59600.0,13901.269607843138,600.0,124339.4,58226.504901960776
6509,55368,24,2307,1,197099,74.7,9624,6.43,2.31,145,1358.0,4265,59,True,0,10100.0,12414.4,98.0,14.6,48139.0,8702.475510204076,200.0,113350.7,46061.31938775505
6520,91200,24,3800,1,119895,89.9,10446,6.43,9.4,90,1358.0,4743,43,True,0,22799.0,32715.3,36.0,14.6,34198.0,9999.522222222224,700.0,76736.9,32558.533333333333
6699,7656,24,319,1,78955,59.0,9060,6.43,2.44,124,1358.0,1717,36,True,0,12800.0,36353.1,81.0,9.2,31677.0,6436.609876543208,600.0,73069.1,46444.63950617287
6336,212400,36,5900,1,85852,59.8,8965,6.43,8.23,104,1358.0,2822,32,True,0,33500.0,64221.1,71.0,30.0,48828.0,11301.5661971831,300.0,133215.2,51034.36197183098
7055,167100,60,2785,1,145688,40.7,8544,6.43,1.86,109,1358.0,2906,28,True,0,12300.0,39310.2,79.0,14.6,49980.0,14332.407594936703,1100.0,143605.7,63707.62658227849
6103,149340,60,2489,1,105606,53.0,8254,6.43,3.76,97,1358.0,2325,35,False,0,30.0,23538.3,56.0,30.0,22404.0,5778.791071428573,500.0,53214.0,29069.11607142853
6202,65184,12,5432,1,387570,100.0,9897,6.43,1.96,140,1358.0,18696,41,False,0,7100.0,67995.4,82.0,14.6,48891.0,11972.67682926829,900.0,102410.3,47426.54999999997
7066,215388,36,5983,-1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,39,False,0,139.3,30662.8,15.0,18.0,49757.0,6110.860000000001,1000.0,50757.0,32702.726666666666
6696,89040,60,1484,1,148545,53.5,8909,6.43,5.56,113,1358.0,3590,28,True,0,800.0,29305.8,87.0,14.6,15843.0,3441.2045977011485,800.0,46550.2,30045.4
6072,193968,36,5388,1,226122,62.6,8994,6.43,4.79,110,1358.0,9208,26,False,0,19181.0,80780.0,29.0,52.4,54200.0,16951.03448275862,800.0,120567.3,63579.21724137932
5130,24312,12,2026,1,93931,56.9,8427,6.43,1.54,107,1358.0,1913,43,True,0,6600.0,28461.9,78.0,14.6,24322.0,4949.474358974358,1100.0,48277.9,29380.83974358974
5568,272520,60,4542,1,92084,46.7,10124,6.43,0.54,141,1358.0,4316,59,False,0,1300.0,30009.9,84.0,13.3,56700.0,10778.34523809524,1100.0,121891.4,44602.64166666664
6678,80340,12,6695,1,75637,36.5,9622,6.43,0.59,154,1358.0,3529,22,True,0,40840.0,89342.6,52.0,14.6,61260.0,15464.398076923077,1100.0,122523.5,61531.59038461539
6998,97632,12,8136,1,70646,58.4,8547,6.43,3.64,120,1358.0,1542,30,True,0,16800.0,41330.1,65.0,14.6,73224.0,15218.433846153845,1100.0,119900.1,53379.12769230773
6580,196080,48,4085,1,87419,85.5,8624,6.43,2.66,102,1358.0,3198,40,False,0,4900.0,86857.4,47.0,14.6,46888.0,10472.497872340426,900.0,97457.4,49143.96595744681
6316,76908,12,6409,-1,107870,58.0,8754,6.43,4.31,137,1358.0,3868,52,True,0,7000.0,14888.6,102.0,14.6,52200.0,12928.499019607843,1100.0,126002.8,52890.40392156866
6512,63312,48,1319,1,149893,67.4,9753,6.43,5.05,109,1358.0,5892,42,True,0,900.0,28553.5,82.0,14.6,10500.0,2011.2317073170727,500.0,31462.9,22551.77926829271
6407,25944,24,1081,1,118650,85.6,9832,6.43,4.48,114,1358.0,5471,38,True,0,24193.0,69398.9,37.0,14.6,36289.5,10704.751351351351,600.0,80155.2,56927.45405405403
5002,104808,12,8734,1,125832,48.3,8512,6.43,4.12,102,1358.0,2103,59,False,0,3900.0,28015.4,30.0,14.6,25970.0,6642.553333333333,500.0,57865.3,38709.83
6647,208320,48,4340,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,30,True,0,30.0,44183.1,85.0,30.0,39060.0,9434.437647058823,200.0,82981.9,43944.88941176475
7137,151560,24,6315,1,125832,48.3,8512,6.43,4.12,102,1358.0,2103,45,False,0,15993.0,21323.2,28.0,14.6,56835.0,16935.55357142857,300.0,97912.7,53976.29285714283
6903,52128,24,2172,1,94812,81.8,9650,6.43,3.67,100,1358.0,2804,39,True,0,14.6,58844.8,71.0,0.1,44473.0,6031.725352112675,144.2,59944.2,33459.68028169013
5918,300204,36,8339,1,67298,43.8,8561,6.43,1.29,110,1358.0,1127,34,False,0,200.0,33811.7,71.0,14.6,28365.0,6578.118309859154,300.0,57676.7,34084.4605633803
6642,77640,12,6470,1,105606,53.0,8254,6.43,3.76,97,1358.0,2325,31,False,0,6000.0,30825.8,60.0,30.0,58227.0,13255.798333333332,700.0,117489.5,55570.30499999995
6210,87216,48,1817,-1,58796,51.9,9045,6.43,3.6,124,1358.0,1879,34,False,0,14.6,21691.3,33.0,14.6,16356.0,4041.378787878787,200.0,41410.0,28362.24848484848
6279,87360,24,3640,1,85852,59.8,8965,6.43,8.23,104,1358.0,2822,36,False,0,138.1,29072.5,30.0,14.6,49341.0,8145.613333333334,200.0,69174.6,36783.95
7249,69360,48,1445,1,75637,36.5,9622,6.43,0.59,154,1358.0,3529,57,False,0,13700.0,38665.0,78.0,14.6,17782.0,4748.167948717948,1100.0,52365.0,33857.10641025642
6736,288360,60,4806,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,63,False,0,17.5,43313.2,10.0,8.7,27116.0,8585.039999999999,800.0,58495.8,33211.759999999995
6112,174744,24,7281,-1,125236,87.7,9675,6.43,7.68,100,1358.0,5190,20,True,0,8300.0,6930.8,118.0,0.2,46739.0,7375.6279661016915,-1369.2,96659.4,26252.81440677967
5319,239460,60,3991,1,128118,85.3,9317,6.43,7.07,97,1358.0,6872,56,True,0,7400.0,36240.6,46.0,14.6,35918.0,9689.680434782607,300.0,74408.8,40061.58043478263
6596,91584,24,3816,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,47,True,0,27900.0,49842.9,31.0,14.6,47906.0,15002.819354838708,1000.0,83039.4,50765.41612903225
5837,244560,60,4076,1,124605,46.0,8772,6.43,4.98,126,1358.0,3158,31,True,0,4107.0,21326.1,42.0,14.6,36680.0,10168.945238095235,1000.0,72512.5,38426.728571428575
5657,4980,12,415,1,86513,50.5,8288,6.43,4.52,110,1358.0,1460,46,True,0,800.0,22500.3,46.0,14.6,16000.0,3932.504347826088,800.0,41106.2,30533.37173913044
5533,111384,24,4641,1,51428,52.7,8402,6.43,3.98,120,1358.0,1099,31,False,0,31759.0,52318.9,152.0,14.6,61700.0,13525.02368421053,500.0,141386.0,65097.22434210526
6232,276660,36,7685,-1,124605,46.0,8772,6.43,4.98,126,1358.0,3158,49,False,0,4987.0,19783.2,58.0,9.5,11600.0,3499.286206896553,500.0,32720.4,19256.89482758621
6888,39576,12,3298,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,18,True,0,9493.0,23901.1,115.0,14.6,49603.0,8275.283478260868,300.0,103467.2,48944.82782608696
6066,173808,24,7242,1,148545,53.5,8909,6.43,5.56,113,1358.0,3590,41,True,0,49681.0,94431.9,75.0,43.3,74522.0,17396.585333333336,1000.0,134416.6,61218.658666666684
5549,50460,60,841,1,75637,36.5,9622,6.43,0.59,154,1358.0,3529,51,True,0,600.0,41531.0,43.0,14.6,22927.5,6392.972093023257,800.0,51971.4,37570.62790697676
5060,252060,60,4201,-1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,33,True,0,13990.0,70096.5,61.0,8.2,49937.0,11625.122950819672,900.0,106259.6,57340.508196721305
6004,143904,24,5996,1,107870,58.0,8754,6.43,4.31,137,1358.0,3868,47,False,0,8800.0,38336.2,139.0,6.7,60500.0,9194.261151079138,700.0,134571.2,49727.456115107925
5126,208128,48,4336,-1,387570,100.0,9897,6.43,1.96,140,1358.0,18696,47,False,0,38929.0,81474.6,64.0,14.6,47493.0,9442.159375,-1069.7,96064.0,36369.97499999999
7220,131292,36,3647,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,44,False,0,3500.0,31361.3,83.0,12.1,32823.0,7915.583132530121,1000.0,70288.4,36635.11566265061
6668,74736,36,2076,1,77917,53.5,8390,6.43,2.89,132,1358.0,2122,33,False,0,10200.0,33243.7,67.0,14.6,30918.0,8191.962686567161,700.0,62084.0,37912.99850746268
5395,299088,36,8308,-1,106054,63.1,8110,6.43,6.55,109,1358.0,3079,32,True,0,14198.0,19448.5,126.0,14.6,59400.0,12746.586507936514,500.0,193909.9,51992.854761904746
6836,189300,60,3155,1,162580,72.8,9538,6.43,1.81,111,1358.0,5410,45,False,0,95.2,24566.6,102.0,14.6,28413.0,5114.498039215686,800.0,61043.3,32354.03137254901
6064,14628,12,1219,1,157042,33.9,8743,6.43,2.43,111,1358.0,3894,49,True,0,160.7,34917.4,102.0,2.0,23230.5,4093.035294117646,200.0,52184.7,32788.14215686272
6919,120888,36,3358,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,54,True,0,11100.0,52014.4,96.0,30.0,49200.0,9301.089583333334,600.0,116468.4,40838.75520833332
6841,172080,48,3585,1,92084,46.7,10124,6.43,0.54,141,1358.0,4316,41,True,0,273.9,58091.4,42.0,14.6,45518.0,11368.769047619046,200.0,119138.8,60743.95714285715
6038,323472,48,6739,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,58,True,0,230.0,72386.4,57.0,14.6,44802.0,12422.015789473682,200.0,119934.1,45414.07368421048
6729,74688,12,6224,1,87419,85.5,8624,6.43,2.66,102,1358.0,3198,53,True,0,13711.0,28933.3,112.0,14.6,56019.0,11551.496428571432,1100.0,104902.4,48484.62410714285
7198,45768,12,3814,1,106054,63.1,8110,6.43,6.55,109,1358.0,3079,21,True,0,23900.0,54427.5,27.0,24.2,36574.0,5645.466666666667,800.0,78327.5,32555.81851851852
6686,224604,36,6239,1,51313,59.2,8930,6.43,4.2,108,1358.0,1452,22,False,0,17300.0,40287.4,93.0,14.6,56152.0,14537.80322580645,200.0,109178.4,57496.98924731188
5836,79632,24,3318,1,125832,48.3,8512,6.43,4.12,102,1358.0,2103,39,True,0,9516.0,89746.5,16.0,112.5,66165.0,24948.65625,900.0,119373.5,63494.2
7061,121896,24,5079,1,157042,33.9,8743,6.43,2.43,111,1358.0,3894,33,False,0,15500.0,41917.2,93.0,14.6,64900.0,13230.344086021503,600.0,133454.9,54422.59677419359
5595,82896,12,6908,1,110643,51.9,8441,6.43,4.48,115,1358.0,2252,26,False,2,299.9,64300.6,126.0,14.6,62168.0,10765.97777777778,900.0,107680.9,57141.73095238091
5723,23628,12,1969,1,85852,59.8,8965,6.43,8.23,104,1358.0,2822,44,False,0,35200.0,64096.3,110.0,1.7,43694.0,9915.672727272728,1000.0,140228.7,47420.84181818185
6120,209184,48,4358,1,139012,61.9,8363,6.43,3.49,108,1358.0,2799,45,False,0,14500.0,44254.7,68.0,14.6,61800.0,14438.21176470588,1000.0,110583.8,46230.339705882405
6895,41904,12,3492,1,228848,57.2,9893,6.43,4.72,96,1358.0,5887,24,False,0,3500.0,39204.7,143.0,0.8,51700.0,6720.900699300696,900.0,129123.0,36080.38671328672
5882,87816,12,7318,1,105058,81.0,9272,6.43,3.22,118,1358.0,4505,37,False,0,5000.0,15665.6,84.0,14.6,14886.0,4538.900000000001,800.0,43442.2,25533.2142857143
5754,23052,12,1921,1,387570,100.0,9897,6.43,1.96,140,1358.0,18696,58,True,0,5520.0,28531.7,171.0,14.6,24000.0,3618.326315789472,700.0,54321.8,23771.96608187134
6594,189696,24,7904,-1,110643,51.9,8441,6.43,4.48,115,1358.0,2252,28,True,0,2200.0,22500.0,5.0,600.0,11500.0,4500.0,600.0,22500.0,14900.0
6738,230220,36,6395,-1,323870,100.0,10673,6.43,5.44,100,1358.0,18347,56,True,0,8894.0,6325.5,82.0,4.9,59800.0,7188.8524390243865,-2719.7,130801.0,27658.487804878067
6624,71460,12,5955,1,157042,33.9,8743,6.43,2.43,111,1358.0,3894,53,False,0,34197.0,53022.0,43.0,14.6,48487.0,10433.43953488372,200.0,82549.0,47991.530232558136
6216,141240,24,5885,1,102609,52.0,8187,6.43,5.45,94,1358.0,2134,36,False,0,4900.0,45871.6,102.0,14.6,52968.0,9343.385294117645,1000.0,107784.1,57219.574509803846
6229,11736,24,489,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,60,False,0,2200.0,26984.4,133.0,14.6,33098.0,6032.843609022554,1100.0,70826.8,42224.43909774438
5887,192744,36,5354,1,110643,51.9,8441,6.43,4.48,115,1358.0,2252,27,True,0,14.6,29019.1,76.0,8.8,47700.0,7643.909210526314,700.0,121508.1,37265.65526315789
6808,227880,36,6330,1,197099,74.7,9624,6.43,2.31,145,1358.0,4265,43,True,0,8552.0,53716.6,83.0,14.6,64600.0,8156.793975903611,1100.0,153213.7,45134.72168674696
6297,17508,12,1459,1,323870,100.0,10673,6.43,5.44,100,1358.0,18347,52,False,0,720.0,48027.0,72.0,14.6,17580.0,4842.7652777777785,900.0,54432.3,39290.61805555556
5161,98184,24,4091,1,114200,43.7,8403,6.43,5.72,105,1358.0,2718,53,True,0,24545.0,68956.1,14.0,74.1,24545.0,9311.157142857142,500.0,68956.1,41660.392857142855
5390,170256,24,7094,1,93931,56.9,8427,6.43,1.54,107,1358.0,1913,33,True,0,3720.0,43302.8,77.0,14.6,36552.0,9089.424675324672,200.0,79869.8,40091.18311688309
6150,83016,12,6918,1,285387,89.9,10177,6.43,7.75,81,1358.0,10108,19,False,0,302.5,93620.2,196.0,14.6,64400.0,13414.556632653064,700.0,136436.6,67891.93520408162
6223,61056,48,1272,1,1204953,100.0,12541,6.43,0.43,167,1358.0,99107,41,True,0,14.6,33525.3,64.0,14.6,24372.0,5646.339062499999,900.0,55816.0,36039.05156249998
5032,123696,48,2577,1,124605,46.0,8772,6.43,4.98,126,1358.0,3158,58,False,0,113.7,25201.8,61.0,14.6,48476.0,8953.219672131147,300.0,89822.2,49084.38196721312
