account_id,loan_date,amount,loan_duration,payments,loan_success,account_frequency,account_creation,account_district no. of inhabitants,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '96 ,age,women,client_district no. of inhabitants,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '96 ,card_type,card_issue_date
1787,930705,96396,12,8033,-1,weekly issuance,930322,94812,81.8,9650,3.67,100,2804,51,True,94812,81.8,9650,3.67,100,2804,,
1801,930711,165960,36,4610,1,monthly issuance,930213,112709,73.5,8369,2.31,117,2618,30,False,112709,73.5,8369,2.31,117,2618,,
9188,930728,127080,60,2118,1,monthly issuance,930208,77917,53.5,8390,2.89,132,2122,62,False,77917,53.5,8390,2.89,132,2122,,
1843,930803,105804,36,2939,1,monthly issuance,930130,107870,58.0,8754,4.31,137,3868,58,True,177686,74.8,10045,1.71,135,6295,,
11013,930906,274740,60,4579,1,weekly issuance,930214,1204953,100.0,12541,0.43,167,99107,20,False,86513,50.5,8288,4.52,110,1460,,
8261,930913,87840,24,3660,1,monthly issuance,930512,53921,41.3,8598,3.26,123,1875,18,True,53921,41.3,8598,3.26,123,1875,,
8261,930913,87840,24,3660,1,monthly issuance,930512,53921,41.3,8598,3.26,123,1875,18,True,53921,41.3,8598,3.26,123,1875,,
11265,930915,52788,12,4399,1,monthly issuance,930114,58796,51.9,9045,3.6,124,1879,25,False,58796,51.9,9045,3.6,124,1879,,
5428,930924,174744,24,7281,-1,monthly issuance,930414,122603,80.0,8991,2.01,128,5273,50,True,122603,80.0,8991,2.01,128,5273,,
10973,931013,154416,48,3217,1,weekly issuance,930420,70699,65.3,8968,3.35,131,1910,29,True,70699,65.3,8968,3.35,131,1910,,
4894,931104,117024,24,4876,1,monthly issuance,930620,177686,74.8,10045,1.71,135,6295,63,False,177686,74.8,10045,1.71,135,6295,,
10364,931110,21924,36,609,1,monthly issuance,930117,157042,33.9,8743,2.43,111,3894,38,False,157042,33.9,8743,2.43,111,3894,,
10364,931110,21924,36,609,1,monthly issuance,930117,157042,33.9,8743,2.43,111,3894,38,False,157042,33.9,8743,2.43,111,3894,,
5270,931122,79608,24,3317,1,monthly issuance,930113,105606,53.0,8254,3.76,97,2325,28,False,105606,53.0,8254,3.76,97,2325,,
6034,931201,464520,60,7742,-1,weekly issuance,930319,77963,51.5,8546,4.02,126,3120,58,True,148545,53.5,8909,5.56,113,3590,,
6701,931208,95400,36,2650,1,weekly issuance,930315,75685,60.8,8208,2.26,155,2123,27,False,95616,51.4,9307,4.43,118,3040,,
2705,931208,93888,36,2608,1,issuance after transaction,930705,86513,50.5,8288,4.52,110,1460,48,True,86513,50.5,8288,4.52,110,1460,,
7123,931209,47016,12,3918,1,issuance after transaction,930414,197099,74.7,9624,2.31,145,4265,41,True,112709,73.5,8369,2.31,117,2618,,
10320,931213,259740,60,4329,1,monthly issuance,930711,228848,57.2,9893,4.72,96,5887,19,False,228848,57.2,9893,4.72,96,5887,,
9034,931216,38148,12,3179,1,monthly issuance,930628,1204953,100.0,12541,0.43,167,99107,33,True,1204953,100.0,12541,0.43,167,99107,,
9236,931221,86616,12,7218,1,monthly issuance,930818,75637,36.5,9622,0.59,154,3529,37,False,75637,36.5,9622,0.59,154,3529,,
10266,931223,75624,24,3151,-1,monthly issuance,930610,387570,100.0,9897,1.96,140,18696,40,False,387570,100.0,9897,1.96,140,18696,,
2,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
2,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
7401,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
7401,940105,80952,24,3373,1,monthly issuance,930226,1204953,100.0,12541,0.43,167,99107,53,False,1204953,100.0,12541,0.43,167,99107,,
2486,940110,24516,12,2043,1,monthly issuance,930227,1204953,100.0,12541,0.43,167,99107,40,False,1204953,100.0,12541,0.43,167,99107,,
1071,940120,253200,60,4220,1,weekly issuance,930510,228848,57.2,9893,4.72,96,5887,48,True,139012,61.9,8363,3.49,108,2799,,
8475,940121,21072,24,878,1,monthly issuance,930908,149893,67.4,9753,5.05,109,5892,34,True,74062,61.4,8114,2.62,119,1181,,
11111,940131,108144,36,3004,1,monthly issuance,930520,1204953,100.0,12541,0.43,167,99107,35,True,108871,62.1,8444,3.47,106,2305,,
11111,940131,108144,36,3004,1,monthly issuance,930520,1204953,100.0,12541,0.43,167,99107,35,True,108871,62.1,8444,3.47,106,2305,,
1603,940206,78936,12,6578,1,monthly issuance,930509,1204953,100.0,12541,0.43,167,99107,41,True,51313,59.2,8930,4.2,108,1452,,
1166,940207,149040,48,3105,1,monthly issuance,930421,75637,36.5,9622,0.59,154,3529,30,True,75637,36.5,9622,0.59,154,3529,,
8073,940217,49320,12,4110,-1,issuance after transaction,930903,122603,80.0,8991,2.01,128,5273,53,True,122603,80.0,8991,2.01,128,5273,,
10940,940223,197748,36,5493,1,monthly issuance,930913,102609,52.0,8187,5.45,94,2134,28,True,53921,41.3,8598,3.26,123,1875,,
10940,940223,197748,36,5493,1,monthly issuance,930913,102609,52.0,8187,5.45,94,2134,28,True,53921,41.3,8598,3.26,123,1875,,
5313,940227,300660,60,5011,1,monthly issuance,930429,128118,85.3,9317,7.07,97,6872,48,False,128118,85.3,9317,7.07,97,6872,,
11135,940301,182628,36,5073,1,monthly issuance,931010,138032,64.6,8819,5.66,99,4505,39,False,138032,64.6,8819,5.66,99,4505,,
2694,940308,91632,12,7636,1,monthly issuance,930308,94725,63.4,9920,2.87,130,4846,36,True,139012,61.9,8363,3.49,108,2799,,
2694,940308,91632,12,7636,1,monthly issuance,930308,94725,63.4,9920,2.87,130,4846,36,True,139012,61.9,8363,3.49,108,2799,,
7753,940311,51696,24,2154,1,monthly issuance,930208,323870,100.0,10673,5.44,100,18347,30,True,323870,100.0,10673,5.44,100,18347,classic,931107.0
7445,940315,55368,24,2307,1,monthly issuance,930318,197099,74.7,9624,2.31,145,4265,59,True,197099,74.7,9624,2.31,145,4265,,
7485,940316,91200,24,3800,1,monthly issuance,930728,119895,89.9,10446,9.4,90,4743,43,True,119895,89.9,10446,9.4,90,4743,,
7485,940316,91200,24,3800,1,monthly issuance,930728,119895,89.9,10446,9.4,90,4743,43,True,119895,89.9,10446,9.4,90,4743,,
8330,940330,7656,24,319,1,monthly issuance,930328,78955,59.0,9060,2.44,124,1717,36,True,78955,59.0,9060,2.44,124,1717,,
8330,940330,7656,24,319,1,monthly issuance,930328,78955,59.0,9060,2.44,124,1717,36,True,78955,59.0,9060,2.44,124,1717,,
6555,940331,212400,36,5900,1,weekly issuance,930305,85852,59.8,8965,8.23,104,2822,32,True,85852,59.8,8965,8.23,104,2822,,
10079,940406,167100,60,2785,1,monthly issuance,930506,145688,40.7,8544,1.86,109,2906,28,True,145688,40.7,8544,1.86,109,2906,,
10079,940406,167100,60,2785,1,monthly issuance,930506,145688,40.7,8544,1.86,109,2906,28,True,145688,40.7,8544,1.86,109,2906,,
5385,940407,149340,60,2489,1,weekly issuance,930521,105606,53.0,8254,3.76,97,2325,35,False,105606,53.0,8254,3.76,97,2325,,
5891,940418,65184,12,5432,1,monthly issuance,930125,387570,100.0,9897,1.96,140,18696,41,False,75232,41.7,8980,2.21,111,2813,,
10131,940502,215388,36,5983,-1,monthly issuance,931127,1204953,100.0,12541,0.43,167,99107,39,False,119895,89.9,10446,9.4,90,4743,,
8321,940509,89040,60,1484,1,monthly issuance,930412,148545,53.5,8909,5.56,113,3590,28,True,148545,53.5,8909,5.56,113,3590,,
8321,940509,89040,60,1484,1,monthly issuance,930412,148545,53.5,8909,5.56,113,3590,28,True,148545,53.5,8909,5.56,113,3590,,
5256,940510,193968,36,5388,1,issuance after transaction,931025,226122,62.6,8994,4.79,110,9208,26,False,226122,62.6,8994,4.79,110,9208,,
813,940511,24312,12,2026,1,monthly issuance,930210,93931,56.9,8427,1.54,107,1913,43,True,93931,56.9,8427,1.54,107,1913,,
2933,940517,272520,60,4542,1,monthly issuance,930618,92084,46.7,10124,0.54,141,4316,59,False,92084,46.7,10124,0.54,141,4316,,
2933,940517,272520,60,4542,1,monthly issuance,930618,92084,46.7,10124,0.54,141,4316,59,False,92084,46.7,10124,0.54,141,4316,,
8173,940520,80340,12,6695,1,monthly issuance,930705,75637,36.5,9622,0.59,154,3529,22,True,1204953,100.0,12541,0.43,167,99107,,
8173,940520,80340,12,6695,1,monthly issuance,930705,75637,36.5,9622,0.59,154,3529,22,True,1204953,100.0,12541,0.43,167,99107,,
9833,940521,97632,12,8136,1,monthly issuance,930724,70646,58.4,8547,3.64,120,1542,30,True,103347,67.0,9104,2.07,123,2354,,
7769,940522,196080,48,4085,1,monthly issuance,931003,87419,85.5,8624,2.66,102,3198,40,False,87419,85.5,8624,2.66,102,3198,,
6473,940526,76908,12,6409,-1,monthly issuance,930126,107870,58.0,8754,4.31,137,3868,52,True,149893,67.4,9753,5.05,109,5892,,
7454,940526,63312,48,1319,1,monthly issuance,930419,149893,67.4,9753,5.05,109,5892,42,True,51313,59.2,8930,4.2,108,1452,,
6930,940526,25944,24,1081,1,monthly issuance,930908,118650,85.6,9832,4.48,114,5471,38,True,118650,85.6,9832,4.48,114,5471,,
173,940531,104808,12,8734,1,monthly issuance,931126,125832,48.3,8512,4.12,102,2103,59,False,125832,48.3,8512,4.12,102,2103,,
173,940531,104808,12,8734,1,monthly issuance,931126,125832,48.3,8512,4.12,102,2103,59,False,125832,48.3,8512,4.12,102,2103,,
8051,940601,208320,48,4340,1,weekly issuance,930207,1204953,100.0,12541,0.43,167,99107,30,True,51313,59.2,8930,4.2,108,1452,,
8051,940601,208320,48,4340,1,weekly issuance,930207,1204953,100.0,12541,0.43,167,99107,30,True,51313,59.2,8930,4.2,108,1452,,
10439,940603,151560,24,6315,1,monthly issuance,931121,125832,48.3,8512,4.12,102,2103,45,False,125832,48.3,8512,4.12,102,2103,,
9337,940604,52128,24,2172,1,monthly issuance,930913,94812,81.8,9650,3.67,100,2804,39,True,75637,36.5,9622,0.59,154,3529,,
4576,940604,300204,36,8339,1,monthly issuance,930605,67298,43.8,8561,1.29,110,1127,34,False,161954,48.0,8720,4.5,116,3651,,
8027,940605,77640,12,6470,1,weekly issuance,930707,105606,53.0,8254,3.76,97,2325,31,False,67298,43.8,8561,1.29,110,1127,,
5927,940606,87216,48,1817,-1,monthly issuance,931126,58796,51.9,9045,3.6,124,1879,34,False,58796,51.9,9045,3.6,124,1879,,
6273,940607,87360,24,3640,1,monthly issuance,930721,85852,59.8,8965,8.23,104,2822,36,False,85852,59.8,8965,8.23,104,2822,,
11065,940612,69360,48,1445,1,monthly issuance,930319,75637,36.5,9622,0.59,154,3529,57,False,112709,73.5,8369,2.31,117,2618,,
8558,940614,288360,60,4806,1,issuance after transaction,940227,1204953,100.0,12541,0.43,167,99107,63,False,1204953,100.0,12541,0.43,167,99107,,
5442,940617,174744,24,7281,-1,monthly issuance,930322,125236,87.7,9675,7.68,100,5190,20,True,95616,51.4,9307,4.43,118,3040,,
1811,940623,239460,60,3991,1,monthly issuance,930922,128118,85.3,9317,7.07,97,6872,56,True,228848,57.2,9893,4.72,96,5887,,
7844,940625,91584,24,3816,1,monthly issuance,931126,1204953,100.0,12541,0.43,167,99107,47,True,133777,84.7,8705,7.61,116,4859,,
4260,940629,244560,60,4076,1,monthly issuance,931014,124605,46.0,8772,4.98,126,3158,31,True,109164,63.6,8757,3.95,96,2471,,
3354,940705,4980,12,415,1,monthly issuance,931105,86513,50.5,8288,4.52,110,1460,46,True,86513,50.5,8288,4.52,110,1460,,
2762,940705,111384,24,4641,1,monthly issuance,930320,51428,52.7,8402,3.98,120,1099,31,False,75637,36.5,9622,0.59,154,3529,,
6051,940708,276660,36,7685,-1,monthly issuance,930828,124605,46.0,8772,4.98,126,3158,49,False,124605,46.0,8772,4.98,126,3158,,
9265,940711,39576,12,3298,1,monthly issuance,930204,1204953,100.0,12541,0.43,167,99107,18,True,105058,81.0,9272,3.22,118,4505,,
5228,940711,173808,24,7242,1,issuance after transaction,930623,148545,53.5,8909,5.56,113,3590,41,True,148545,53.5,8909,5.56,113,3590,,
5228,940711,173808,24,7242,1,issuance after transaction,930623,148545,53.5,8909,5.56,113,3590,41,True,148545,53.5,8909,5.56,113,3590,,
2824,940716,50460,60,841,1,monthly issuance,931020,75637,36.5,9622,0.59,154,3529,51,True,75637,36.5,9622,0.59,154,3529,,
426,940719,252060,60,4201,-1,monthly issuance,931129,1204953,100.0,12541,0.43,167,99107,33,True,110643,51.9,8441,4.48,115,2252,,
4937,940723,143904,24,5996,1,monthly issuance,930220,107870,58.0,8754,4.31,137,3868,47,False,102609,52.0,8187,5.45,94,2134,,
790,940724,208128,48,4336,-1,monthly issuance,930511,387570,100.0,9897,1.96,140,18696,47,False,387570,100.0,9897,1.96,140,18696,,
10911,940728,131292,36,3647,1,weekly issuance,930529,1204953,100.0,12541,0.43,167,99107,44,False,1204953,100.0,12541,0.43,167,99107,,
8129,940730,74736,36,2076,1,monthly issuance,930626,77917,53.5,8390,2.89,132,2122,33,False,77917,53.5,8390,2.89,132,2122,,
2176,940730,299088,36,8308,-1,monthly issuance,930606,106054,63.1,8110,6.55,109,3079,32,True,106054,63.1,8110,6.55,109,3079,,
9093,940803,189300,60,3155,1,monthly issuance,930616,162580,72.8,9538,1.81,111,5410,45,False,109164,63.6,8757,3.95,96,2471,,
5215,940804,14628,12,1219,1,monthly issuance,930701,157042,33.9,8743,2.43,111,3894,49,True,157042,33.9,8743,2.43,111,3894,,
9403,940805,120888,36,3358,1,weekly issuance,930327,1204953,100.0,12541,0.43,167,99107,54,True,1204953,100.0,12541,0.43,167,99107,,
9104,940807,172080,48,3585,1,monthly issuance,940121,92084,46.7,10124,0.54,141,4316,41,True,92084,46.7,10124,0.54,141,4316,,
5120,940810,323472,48,6739,1,monthly issuance,930621,1204953,100.0,12541,0.43,167,99107,58,True,1204953,100.0,12541,0.43,167,99107,,
8519,940811,74688,12,6224,1,monthly issuance,930402,87419,85.5,8624,2.66,102,3198,53,True,87419,85.5,8624,2.66,102,3198,,
8519,940811,74688,12,6224,1,monthly issuance,930402,87419,85.5,8624,2.66,102,3198,53,True,87419,85.5,8624,2.66,102,3198,,
10788,940823,45768,12,3814,1,weekly issuance,931122,106054,63.1,8110,6.55,109,3079,21,True,226122,62.6,8994,4.79,110,9208,,
8260,940825,224604,36,6239,1,monthly issuance,930324,51313,59.2,8930,4.2,108,1452,22,False,51313,59.2,8930,4.2,108,1452,,
8260,940825,224604,36,6239,1,monthly issuance,930324,51313,59.2,8930,4.2,108,1452,22,False,51313,59.2,8930,4.2,108,1452,,
4259,940827,79632,24,3318,1,monthly issuance,940408,125832,48.3,8512,4.12,102,2103,39,True,125832,48.3,8512,4.12,102,2103,,
10105,940827,121896,24,5079,1,monthly issuance,930428,157042,33.9,8743,2.43,111,3894,33,False,157042,33.9,8743,2.43,111,3894,,
3050,940902,82896,12,6908,1,monthly issuance,930508,110643,51.9,8441,4.48,115,2252,26,False,75685,60.8,8208,2.26,155,2123,classic,940215.0
3050,940902,82896,12,6908,1,monthly issuance,930508,110643,51.9,8441,4.48,115,2252,26,False,75685,60.8,8208,2.26,155,2123,,
3674,940910,23628,12,1969,1,monthly issuance,930312,85852,59.8,8965,8.23,104,2822,44,False,85852,59.8,8965,8.23,104,2822,,
5481,940911,209184,48,4358,1,monthly issuance,930816,139012,61.9,8363,3.49,108,2799,45,False,1204953,100.0,12541,0.43,167,99107,,
9307,940919,41904,12,3492,1,monthly issuance,930124,228848,57.2,9893,4.72,96,5887,24,False,285387,89.9,10177,7.75,81,10108,,
4427,940926,87816,12,7318,1,monthly issuance,930607,105058,81.0,9272,3.22,118,4505,37,False,1204953,100.0,12541,0.43,167,99107,,
4427,940926,87816,12,7318,1,monthly issuance,930607,105058,81.0,9272,3.22,118,4505,37,False,1204953,100.0,12541,0.43,167,99107,,
3834,940928,23052,12,1921,1,monthly issuance,930119,387570,100.0,9897,1.96,140,18696,58,True,387570,100.0,9897,1.96,140,18696,,
3834,940928,23052,12,1921,1,monthly issuance,930119,387570,100.0,9897,1.96,140,18696,58,True,387570,100.0,9897,1.96,140,18696,,
7824,940928,189696,24,7904,-1,monthly issuance,940517,110643,51.9,8441,4.48,115,2252,28,True,110643,51.9,8441,4.48,115,2252,,
8566,940929,230220,36,6395,-1,monthly issuance,931008,323870,100.0,10673,5.44,100,18347,56,True,323870,100.0,10673,5.44,100,18347,,
7965,940930,71460,12,5955,1,monthly issuance,931108,157042,33.9,8743,2.43,111,3894,53,False,157042,33.9,8743,2.43,111,3894,,
7965,940930,71460,12,5955,1,monthly issuance,931108,157042,33.9,8743,2.43,111,3894,53,False,157042,33.9,8743,2.43,111,3894,,
5952,940930,141240,24,5885,1,monthly issuance,930907,102609,52.0,8187,5.45,94,2134,36,False,102609,52.0,8187,5.45,94,2134,,
6040,941002,11736,24,489,1,monthly issuance,930422,1204953,100.0,12541,0.43,167,99107,60,False,1204953,100.0,12541,0.43,167,99107,,
4448,941003,192744,36,5354,1,monthly issuance,930602,110643,51.9,8441,4.48,115,2252,27,True,110643,51.9,8441,4.48,115,2252,,
4448,941003,192744,36,5354,1,monthly issuance,930602,110643,51.9,8441,4.48,115,2252,27,True,110643,51.9,8441,4.48,115,2252,,
8982,941012,227880,36,6330,1,monthly issuance,930925,197099,74.7,9624,2.31,145,4265,43,True,197099,74.7,9624,2.31,145,4265,,
8982,941012,227880,36,6330,1,monthly issuance,930925,197099,74.7,9624,2.31,145,4265,43,True,197099,74.7,9624,2.31,145,4265,,
6363,941025,17508,12,1459,1,monthly issuance,930801,323870,100.0,10673,5.44,100,18347,52,False,107870,58.0,8754,4.31,137,3868,,
1012,941028,98184,24,4091,1,monthly issuance,940709,114200,43.7,8403,5.72,105,2718,53,True,114200,43.7,8403,5.72,105,2718,,
2167,941030,170256,24,7094,1,monthly issuance,930808,93931,56.9,8427,1.54,107,1913,33,True,93931,56.9,8427,1.54,107,1913,,
5622,941102,83016,12,6918,1,monthly issuance,930208,285387,89.9,10177,7.75,81,10108,19,False,161954,48.0,8720,4.5,116,3651,,
5991,941103,61056,48,1272,1,monthly issuance,931121,1204953,100.0,12541,0.43,167,99107,41,True,161954,48.0,8720,4.5,116,3651,,
290,941103,123696,48,2577,1,monthly issuance,931202,124605,46.0,8772,4.98,126,3158,58,False,124605,46.0,8772,4.98,126,3158,,
