account_id,loan_date,amount,loan_duration,payments,loan_success,account_frequency,account_creation,account_district no. of inhabitants,account_district ratio of urban inhabitants ,account_district average salary ,account_district unemploymant rate '96 ,account_district no. of enterpreneurs per 1000 inhabitants ,account_district no. of commited crimes '96 ,age,women,client_district no. of inhabitants,client_district ratio of urban inhabitants ,client_district average salary ,client_district unemploymant rate '96 ,client_district no. of enterpreneurs per 1000 inhabitants ,client_district no. of commited crimes '96 ,card_type,card_issue_date
3804,960208,63252,12,5271,1,monthly issuance,940407,94725,63.4,9920,2.87,130,4846,49,True,94725,63.4,9920,2.87,130,4846,,
5066,960210,61656,24,2569,-1,weekly issuance,950827,53921,41.3,8598,3.26,123,1875,45,True,53921,41.3,8598,3.26,123,1875,,
6400,960212,72408,24,3017,-1,issuance after transaction,951009,51313,59.2,8930,4.2,108,1452,40,True,51313,59.2,8930,4.2,108,1452,,
10884,960213,113544,36,3154,1,monthly issuance,950220,114200,43.7,8403,5.72,105,2718,56,False,114200,43.7,8403,5.72,105,2718,,
8092,960220,56100,60,935,1,monthly issuance,950111,387570,100.0,9897,1.96,140,18696,40,False,387570,100.0,9897,1.96,140,18696,,
5735,960221,290700,60,4845,-1,monthly issuance,950125,139012,61.9,8363,3.49,108,2799,39,True,139012,61.9,8363,3.49,108,2799,,
3112,960224,123216,48,2567,1,monthly issuance,940812,85852,59.8,8965,8.23,104,2822,21,True,85852,59.8,8965,8.23,104,2822,,
3112,960224,123216,48,2567,1,monthly issuance,940812,85852,59.8,8965,8.23,104,2822,21,True,85852,59.8,8965,8.23,104,2822,,
2912,960229,380160,60,6336,1,monthly issuance,940730,323870,100.0,10673,5.44,100,18347,49,False,323870,100.0,10673,5.44,100,18347,,
4852,960304,213300,36,5925,1,monthly issuance,950413,162580,72.8,9538,1.81,111,5410,34,False,162580,72.8,9538,1.81,111,5410,,
8327,960310,247728,48,5161,1,weekly issuance,950808,1204953,100.0,12541,0.43,167,99107,19,False,1204953,100.0,12541,0.43,167,99107,,
1772,960313,202788,36,5633,1,weekly issuance,950220,51313,59.2,8930,4.2,108,1452,45,True,51313,59.2,8930,4.2,108,1452,,
10728,960321,154656,48,3222,1,monthly issuance,941223,161227,69.7,8678,5.57,102,4595,42,False,161227,69.7,8678,5.57,102,4595,,
9017,960326,100224,48,2088,-1,monthly issuance,951122,285387,89.9,10177,7.75,81,10108,41,True,285387,89.9,10177,7.75,81,10108,,
5574,960410,44628,12,3719,1,weekly issuance,940714,53921,41.3,8598,3.26,123,1875,55,False,53921,41.3,8598,3.26,123,1875,,
808,960411,215616,48,4492,-1,monthly issuance,950613,42821,48.4,8173,7.01,124,1358,41,False,42821,48.4,8173,7.01,124,1358,,
2456,960415,200976,48,4187,1,monthly issuance,950909,114200,43.7,8403,5.72,105,2718,43,False,114200,43.7,8403,5.72,105,2718,,
3037,960418,277884,36,7719,-1,monthly issuance,940526,105606,53.0,8254,3.76,97,2325,18,True,105606,53.0,8254,3.76,97,2325,,
1967,960421,249312,48,5194,1,weekly issuance,950213,170449,100.0,10787,3.09,131,6261,43,False,170449,100.0,10787,3.09,131,6261,,
5213,960425,320976,48,6687,-1,monthly issuance,950818,1204953,100.0,12541,0.43,167,99107,62,False,1204953,100.0,12541,0.43,167,99107,,
7418,960429,30276,12,2523,-1,monthly issuance,950407,103347,67.0,9104,2.07,123,2354,59,True,103347,67.0,9104,2.07,123,2354,,
2352,960429,49440,60,824,1,monthly issuance,950121,285387,89.9,10177,7.75,81,10108,32,True,285387,89.9,10177,7.75,81,10108,,
19,960429,30276,12,2523,-1,monthly issuance,950407,103347,67.0,9104,2.07,123,2354,59,True,103347,67.0,9104,2.07,123,2354,,
67,960502,165960,24,6915,1,monthly issuance,941019,93931,56.9,8427,1.54,107,1913,54,True,93931,56.9,8427,1.54,107,1913,,
5794,960506,123600,60,2060,1,monthly issuance,950714,285387,89.9,10177,7.75,81,10108,31,False,285387,89.9,10177,7.75,81,10108,,
5794,960506,123600,60,2060,1,monthly issuance,950714,285387,89.9,10177,7.75,81,10108,31,False,285387,89.9,10177,7.75,81,10108,,
8411,960506,220620,60,3677,1,monthly issuance,941202,70646,58.4,8547,3.64,120,1542,55,True,70646,58.4,8547,3.64,120,1542,,
4462,960514,66480,24,2770,-1,weekly issuance,951227,182027,56.4,8746,3.74,90,4433,63,False,182027,56.4,8746,3.74,90,4433,,
7614,960518,320592,48,6679,1,monthly issuance,950208,145688,40.7,8544,1.86,109,2906,28,True,145688,40.7,8544,1.86,109,2906,classic,960221.0
7614,960518,320592,48,6679,1,monthly issuance,950208,145688,40.7,8544,1.86,109,2906,28,True,145688,40.7,8544,1.86,109,2906,,
3608,960524,161496,36,4486,1,weekly issuance,940830,226122,62.6,8994,4.79,110,9208,27,False,226122,62.6,8994,4.79,110,9208,,
940,960529,284280,60,4738,1,monthly issuance,941115,114006,62.3,9065,5.39,123,4166,40,True,114006,62.3,9065,5.39,123,4166,,
940,960529,284280,60,4738,1,monthly issuance,941115,114006,62.3,9065,5.39,123,4166,40,True,114006,62.3,9065,5.39,123,4166,,
8547,960530,173016,36,4806,1,weekly issuance,950717,177686,74.8,10045,1.71,135,6295,53,True,177686,74.8,10045,1.71,135,6295,,
5422,960603,368880,60,6148,1,monthly issuance,941022,125832,48.3,8512,4.12,102,2103,24,False,125832,48.3,8512,4.12,102,2103,,
5422,960603,368880,60,6148,1,monthly issuance,941022,125832,48.3,8512,4.12,102,2103,24,False,125832,48.3,8512,4.12,102,2103,,
9645,960606,176148,36,4893,1,monthly issuance,960123,85852,59.8,8965,8.23,104,2822,35,True,85852,59.8,8965,8.23,104,2822,,
9006,960608,186384,48,3883,1,weekly issuance,940902,128118,85.3,9317,7.07,97,6872,39,False,128118,85.3,9317,7.07,97,6872,,
2572,960613,360000,48,7500,1,issuance after transaction,941113,197099,74.7,9624,2.31,145,4265,25,True,197099,74.7,9624,2.31,145,4265,,
1766,960615,30060,60,501,1,monthly issuance,940903,72541,36.9,8594,2.01,112,1525,47,False,72541,36.9,8594,2.01,112,1525,classic,960101.0
2322,960629,46320,24,1930,1,monthly issuance,950102,133777,84.7,8705,7.61,116,4859,19,False,133777,84.7,8705,7.61,116,4859,,
1698,960706,141948,36,3943,1,monthly issuance,960314,228848,57.2,9893,4.72,96,5887,48,True,228848,57.2,9893,4.72,96,5887,,
10001,960711,19044,36,529,1,monthly issuance,950528,122603,80.0,8991,2.01,128,5273,24,True,122603,80.0,8991,2.01,128,5273,,
8680,960714,85716,36,2381,1,monthly issuance,960212,74062,61.4,8114,2.62,119,1181,60,False,74062,61.4,8114,2.62,119,1181,,
8680,960714,85716,36,2381,1,monthly issuance,960212,74062,61.4,8114,2.62,119,1181,60,False,74062,61.4,8114,2.62,119,1181,,
8127,960715,155880,24,6495,1,monthly issuance,941013,114006,62.3,9065,5.39,123,4166,30,True,114006,62.3,9065,5.39,123,4166,,
8127,960715,155880,24,6495,1,monthly issuance,941013,114006,62.3,9065,5.39,123,4166,30,True,114006,62.3,9065,5.39,123,4166,,
5541,960718,32640,48,680,1,monthly issuance,950324,161854,76.3,9425,2.5,125,3891,56,False,161854,76.3,9425,2.5,125,3891,,
2268,960718,20196,36,561,1,monthly issuance,950211,1204953,100.0,12541,0.43,167,99107,27,False,1204953,100.0,12541,0.43,167,99107,,
3679,960723,444864,48,9268,1,monthly issuance,950815,197099,74.7,9624,2.31,145,4265,34,False,197099,74.7,9624,2.31,145,4265,,
3679,960723,444864,48,9268,1,monthly issuance,950815,197099,74.7,9624,2.31,145,4265,34,False,197099,74.7,9624,2.31,145,4265,,
5033,960725,11400,12,950,1,monthly issuance,950803,387570,100.0,9897,1.96,140,18696,18,True,387570,100.0,9897,1.96,140,18696,,
6985,960725,96768,36,2688,1,monthly issuance,950727,85852,59.8,8965,8.23,104,2822,30,True,85852,59.8,8965,8.23,104,2822,,
6985,960725,96768,36,2688,1,monthly issuance,950727,85852,59.8,8965,8.23,104,2822,30,True,85852,59.8,8965,8.23,104,2822,,
9790,960727,133968,48,2791,1,monthly issuance,951109,139012,61.9,8363,3.49,108,2799,55,False,139012,61.9,8363,3.49,108,2799,classic,960531.0
9790,960727,133968,48,2791,1,monthly issuance,951109,139012,61.9,8363,3.49,108,2799,55,False,139012,61.9,8363,3.49,108,2799,,
846,960728,187104,24,7796,1,monthly issuance,960309,226122,62.6,8994,4.79,110,9208,21,True,226122,62.6,8994,4.79,110,9208,,
1886,960731,162468,36,4513,1,monthly issuance,960305,105058,81.0,9272,3.22,118,4505,41,True,105058,81.0,9272,3.22,118,4505,,
1886,960731,162468,36,4513,1,monthly issuance,960305,105058,81.0,9272,3.22,118,4505,41,True,105058,81.0,9272,3.22,118,4505,,
2580,960802,89340,60,1489,1,monthly issuance,951109,110643,51.9,8441,4.48,115,2252,27,True,110643,51.9,8441,4.48,115,2252,,
2580,960802,89340,60,1489,1,monthly issuance,951109,110643,51.9,8441,4.48,115,2252,27,True,110643,51.9,8441,4.48,115,2252,,
9928,960802,89340,60,1489,1,monthly issuance,951109,110643,51.9,8441,4.48,115,2252,27,True,110643,51.9,8441,4.48,115,2252,,
9928,960802,89340,60,1489,1,monthly issuance,951109,110643,51.9,8441,4.48,115,2252,27,True,110643,51.9,8441,4.48,115,2252,,
4994,960803,258444,36,7179,1,weekly issuance,960111,1204953,100.0,12541,0.43,167,99107,32,False,1204953,100.0,12541,0.43,167,99107,,
7184,960804,155640,24,6485,1,monthly issuance,950619,95616,51.4,9307,4.43,118,3040,55,True,95616,51.4,9307,4.43,118,3040,,
6358,960806,270384,48,5633,1,monthly issuance,950527,75232,41.7,8980,2.21,111,2813,36,False,75232,41.7,8980,2.21,111,2813,,
11359,960806,54024,12,4502,1,monthly issuance,941001,117897,53.8,8814,5.74,107,2059,30,False,117897,53.8,8814,5.74,107,2059,classic,950613.0
5593,960809,44376,12,3698,1,monthly issuance,960227,58796,51.9,9045,3.6,124,1879,36,False,58796,51.9,9045,3.6,124,1879,,
6289,960811,85632,48,1784,1,monthly issuance,950405,197099,74.7,9624,2.31,145,4265,49,True,197099,74.7,9624,2.31,145,4265,,
11054,960820,148920,60,2482,1,weekly issuance,960201,108871,62.1,8444,3.47,106,2305,21,False,108871,62.1,8444,3.47,106,2305,,
544,960822,91152,24,3798,1,monthly issuance,950515,105058,81.0,9272,3.22,118,4505,56,False,105058,81.0,9272,3.22,118,4505,classic,960808.0
4851,960822,141648,24,5902,1,monthly issuance,960204,139012,61.9,8363,3.49,108,2799,46,False,139012,61.9,8363,3.49,108,2799,,
4851,960822,141648,24,5902,1,monthly issuance,960204,139012,61.9,8363,3.49,108,2799,46,False,139012,61.9,8363,3.49,108,2799,,
1583,960824,388512,48,8094,-1,issuance after transaction,941117,42821,48.4,8173,7.01,124,1358,29,True,42821,48.4,8173,7.01,124,1358,,
4650,960825,402000,60,6700,1,monthly issuance,951015,149893,67.4,9753,5.05,109,5892,18,False,149893,67.4,9753,5.05,109,5892,,
3084,960828,253512,36,7042,-1,weekly issuance,960128,108871,62.1,8444,3.47,106,2305,53,True,108871,62.1,8444,3.47,106,2305,,
2143,960909,71460,36,1985,1,monthly issuance,960113,1204953,100.0,12541,0.43,167,99107,18,True,1204953,100.0,12541,0.43,167,99107,,
2143,960909,71460,36,1985,1,monthly issuance,960113,1204953,100.0,12541,0.43,167,99107,18,True,1204953,100.0,12541,0.43,167,99107,,
9199,960911,29448,12,2454,-1,monthly issuance,960515,226122,62.6,8994,4.79,110,9208,51,False,226122,62.6,8994,4.79,110,9208,,
2994,960914,48744,36,1354,1,monthly issuance,960503,148545,53.5,8909,5.56,113,3590,34,True,148545,53.5,8909,5.56,113,3590,,
6397,960916,181020,60,3017,1,monthly issuance,950315,78955,59.0,9060,2.44,124,1717,32,True,78955,59.0,9060,2.44,124,1717,,
6397,960916,181020,60,3017,1,monthly issuance,950315,78955,59.0,9060,2.44,124,1717,32,True,78955,59.0,9060,2.44,124,1717,,
10762,960917,68832,36,1912,1,monthly issuance,951023,1204953,100.0,12541,0.43,167,99107,39,False,1204953,100.0,12541,0.43,167,99107,,
7136,960919,74124,36,2059,1,weekly issuance,950409,107870,58.0,8754,4.31,137,3868,59,True,107870,58.0,8754,4.31,137,3868,,
8533,960919,174048,48,3626,1,monthly issuance,951010,162580,72.8,9538,1.81,111,5410,46,True,162580,72.8,9538,1.81,111,5410,,
7926,960922,84120,24,3505,1,weekly issuance,960609,42821,48.4,8173,7.01,124,1358,48,True,42821,48.4,8173,7.01,124,1358,,
10019,960925,194940,36,5415,1,monthly issuance,950615,112065,69.4,11277,1.44,127,4987,34,False,112065,69.4,11277,1.44,127,4987,,
4476,960925,15192,24,633,1,monthly issuance,941110,122603,80.0,8991,2.01,128,5273,26,True,122603,80.0,8991,2.01,128,5273,,
9814,960926,96168,12,8014,1,weekly issuance,950119,197099,74.7,9624,2.31,145,4265,26,True,197099,74.7,9624,2.31,145,4265,,
2236,960926,139464,36,3874,-1,monthly issuance,950827,182027,56.4,8746,3.74,90,4433,40,False,182027,56.4,8746,3.74,90,4433,,
10436,960928,54396,36,1511,1,monthly issuance,960321,110643,51.9,8441,4.48,115,2252,59,False,110643,51.9,8441,4.48,115,2252,,
11186,961002,392460,60,6541,1,monthly issuance,941124,107870,58.0,8754,4.31,137,3868,18,True,107870,58.0,8754,4.31,137,3868,,
11186,961002,392460,60,6541,1,monthly issuance,941124,107870,58.0,8754,4.31,137,3868,18,True,107870,58.0,8754,4.31,137,3868,,
2106,961003,101520,12,8460,1,monthly issuance,960201,1204953,100.0,12541,0.43,167,99107,22,True,1204953,100.0,12541,0.43,167,99107,,
3230,961004,77184,36,2144,1,monthly issuance,950311,1204953,100.0,12541,0.43,167,99107,44,True,1204953,100.0,12541,0.43,167,99107,,
9024,961004,70656,48,1472,1,monthly issuance,960105,1204953,100.0,12541,0.43,167,99107,46,False,1204953,100.0,12541,0.43,167,99107,,
4585,961010,64656,48,1347,1,monthly issuance,960608,67298,43.8,8561,1.29,110,1127,51,False,67298,43.8,8561,1.29,110,1127,,
4585,961010,64656,48,1347,1,monthly issuance,960608,67298,43.8,8561,1.29,110,1127,51,False,67298,43.8,8561,1.29,110,1127,,
1862,961016,396120,60,6602,1,weekly issuance,950415,51428,52.7,8402,3.98,120,1099,48,True,51428,52.7,8402,3.98,120,1099,,
8039,961020,93600,24,3900,1,monthly issuance,951217,81344,55.3,8899,3.97,149,2487,26,False,81344,55.3,8899,3.97,149,2487,,
6688,961023,22968,36,638,1,monthly issuance,960625,93931,56.9,8427,1.54,107,1913,48,True,93931,56.9,8427,1.54,107,1913,,
501,961024,262980,60,4383,1,monthly issuance,951021,53921,41.3,8598,3.26,123,1875,32,True,53921,41.3,8598,3.26,123,1875,,
7795,961029,372120,60,6202,1,monthly issuance,950105,197099,74.7,9624,2.31,145,4265,53,False,197099,74.7,9624,2.31,145,4265,,
7795,961029,372120,60,6202,1,monthly issuance,950105,197099,74.7,9624,2.31,145,4265,53,False,197099,74.7,9624,2.31,145,4265,,
9422,961029,86184,12,7182,1,monthly issuance,960306,285387,89.9,10177,7.75,81,10108,58,True,285387,89.9,10177,7.75,81,10108,,
2062,961029,86184,12,7182,1,monthly issuance,960306,285387,89.9,10177,7.75,81,10108,58,True,285387,89.9,10177,7.75,81,10108,,
4447,961031,192744,36,5354,1,monthly issuance,960616,145688,40.7,8544,1.86,109,2906,34,False,145688,40.7,8544,1.86,109,2906,,
4447,961031,192744,36,5354,1,monthly issuance,960616,145688,40.7,8544,1.86,109,2906,34,False,145688,40.7,8544,1.86,109,2906,,
3754,961103,68544,24,2856,1,weekly issuance,960219,114006,62.3,9065,5.39,123,4166,22,False,114006,62.3,9065,5.39,123,4166,,
3754,961103,68544,24,2856,1,weekly issuance,960219,114006,62.3,9065,5.39,123,4166,22,False,114006,62.3,9065,5.39,123,4166,,
132,961106,88440,12,7370,1,issuance after transaction,960511,128118,85.3,9317,7.07,97,6872,53,True,128118,85.3,9317,7.07,97,6872,,
132,961106,88440,12,7370,1,issuance after transaction,960511,128118,85.3,9317,7.07,97,6872,53,True,128118,85.3,9317,7.07,97,6872,,
5001,961109,110112,24,4588,1,monthly issuance,951215,107911,50.9,8240,3.56,99,1903,35,False,107911,50.9,8240,3.56,99,1903,,
6434,961111,110136,24,4589,1,monthly issuance,950508,1204953,100.0,12541,0.43,167,99107,40,True,1204953,100.0,12541,0.43,167,99107,,
5263,961112,276300,60,4605,1,monthly issuance,950714,197099,74.7,9624,2.31,145,4265,22,False,197099,74.7,9624,2.31,145,4265,,
4948,961115,359760,60,5996,1,monthly issuance,950729,161854,76.3,9425,2.5,125,3891,19,False,161854,76.3,9425,2.5,125,3891,,
3115,961115,321180,60,5353,1,monthly issuance,960327,177686,74.8,10045,1.71,135,6295,62,False,177686,74.8,10045,1.71,135,6295,,
3115,961115,321180,60,5353,1,monthly issuance,960327,177686,74.8,10045,1.71,135,6295,62,False,177686,74.8,10045,1.71,135,6295,,
9548,961115,46176,48,962,1,monthly issuance,960607,145688,40.7,8544,1.86,109,2906,32,False,145688,40.7,8544,1.86,109,2906,,
10297,961118,421008,48,8771,1,monthly issuance,960119,177686,74.8,10045,1.71,135,6295,45,False,177686,74.8,10045,1.71,135,6295,,
7859,961119,72120,12,6010,1,monthly issuance,950314,139012,61.9,8363,3.49,108,2799,46,True,139012,61.9,8363,3.49,108,2799,,
7859,961119,72120,12,6010,1,monthly issuance,950314,139012,61.9,8363,3.49,108,2799,46,True,139012,61.9,8363,3.49,108,2799,,
9510,961122,228276,36,6341,1,monthly issuance,960609,1204953,100.0,12541,0.43,167,99107,37,False,1204953,100.0,12541,0.43,167,99107,,
9510,961122,228276,36,6341,1,monthly issuance,960609,1204953,100.0,12541,0.43,167,99107,37,False,1204953,100.0,12541,0.43,167,99107,,
1250,961125,182640,48,3805,1,monthly issuance,960328,145688,40.7,8544,1.86,109,2906,56,True,145688,40.7,8544,1.86,109,2906,,
2153,961128,61560,12,5130,1,weekly issuance,960107,51313,59.2,8930,4.2,108,1452,55,False,51313,59.2,8930,4.2,108,1452,,
4981,961128,179328,48,3736,1,monthly issuance,960122,387570,100.0,9897,1.96,140,18696,25,False,387570,100.0,9897,1.96,140,18696,,
3021,961204,155616,48,3242,1,monthly issuance,960420,92084,46.7,10124,0.54,141,4316,39,True,92084,46.7,10124,0.54,141,4316,,
10520,961205,417600,60,6960,1,issuance after transaction,951024,157042,33.9,8743,2.43,111,3894,28,False,157042,33.9,8743,2.43,111,3894,gold,960717.0
10411,961211,123408,24,5142,1,issuance after transaction,951123,119895,89.9,10446,9.4,90,4743,34,False,119895,89.9,10446,9.4,90,4743,gold,960703.0
9030,961212,155616,48,3242,1,monthly issuance,950121,226122,62.6,8994,4.79,110,9208,27,True,226122,62.6,8994,4.79,110,9208,,
9030,961212,155616,48,3242,1,monthly issuance,950121,226122,62.6,8994,4.79,110,9208,27,True,226122,62.6,8994,4.79,110,9208,,
3189,961215,222180,60,3703,-1,monthly issuance,951129,45714,55.6,8843,3.6,113,888,59,False,45714,55.6,8843,3.6,113,888,,
8972,961221,45024,48,938,1,monthly issuance,960521,285387,89.9,10177,7.75,81,10108,41,True,285387,89.9,10177,7.75,81,10108,,
10963,961225,115812,36,3217,1,monthly issuance,950520,93931,56.9,8427,1.54,107,1913,45,False,93931,56.9,8427,1.54,107,1913,,
11362,961227,129408,24,5392,1,monthly issuance,951014,106054,63.1,8110,6.55,109,3079,36,True,106054,63.1,8110,6.55,109,3079,,
